LINKID,CELLID,LAC,
10404,53631,49002,
10401,53631,49002,
10402,53631,49002,
10409,53631,49002,
10415,53631,49002,
10407,53631,49002,
10410,53631,49002,
10405,53631,49002,
10406,53631,49002,
10403,53631,49002,
10412,53631,49002,
10413,53631,49002,
10414,53631,49002,
10411,53631,49002,
10400,53631,49002,
10426,20969,25400,Xianfu@Taiping
10427,20969,25400,
10428,20969,25400,
10429,20969,25400,
10425,20969,25400,
10424,20969,25400,
10423,20969,25400,
302,20969,25400,
301,20969,25400,
300,20969,25400,
297,20969,25400,
298,20969,25400,
299,20969,25400,
10430,20969,25400,
10431,20969,25400,
10432,20969,25400,
10434,20969,25400,
10435,20969,25400,
10436,20969,25400,
10433,20969,25400,
303,20969,25400,
304,20969,25400,
307,20969,25400,
308,20969,25400,
305,20969,25400,
306,20969,25400,
10440,20969,25400,
10439,20969,25400,
10438,20969,25400,
10437,20969,25400,
311,20969,25400,
312,20969,25400,
309,20969,25400,
310,20969,25400,
296,20969,25400,
292,20969,25400,
10420,20969,25400,
10421,20969,25400,
10422,20969,25400,
10419,20969,25400,
10418,20969,25400,
10417,20969,25400,
10416,20969,25400,
291,20969,25400,
295,20969,25400,
294,20969,25400,
293,20969,25400,
10445,20969,25400,
10448,20969,25400,
10449,20969,25400,
10453,20969,25400,
10447,20969,25400,
10452,20969,25400,
10456,20969,25400,
10451,20969,25400,
10444,20969,25400,
10443,20969,25400,
10442,20969,25400,
10441,20969,25400,
10446,20969,25400,
10450,20969,25400,
10353,20822,3542,
10354,20822,3542,
10355,20822,3542,
10352,20822,3542,
255,20822,3542,
256,20822,3542,
258,20822,3542,
257,20822,3542,
10351,20822,3542,
10350,20822,3542,
10349,20822,3542,
254,20822,3542,
253,20822,3542,
10328,20822,3542,
10329,20822,3542,
10330,20822,3542,
235,20822,3542,
236,20822,3542,
238,20822,3542,
10331,20822,3542,
10332,20822,3542,
10333,20822,3542,
10334,20822,3542,
239,20822,3542,
240,20822,3542,
237,20822,3542,
10335,20822,3542,
10336,20822,3542,
10337,20822,3542,
10338,20822,3542,
10341,20822,3542,
10340,20822,3542,
10339,20822,3542,
242,20822,3542,
241,20822,3542,
243,20822,3542,
245,20822,3542,
246,20822,3542,
244,20822,3542,
10342,20822,3542,
10343,20822,3542,
10344,20822,3542,
10348,20822,3542,
10347,20822,3542,
10346,20822,3542,
10345,20822,3542,
252,20822,3542,
251,20822,3542,
247,20822,3542,
250,20822,3542,
239,20822,3542,
10364,20822,3542,
10360,20822,3542,
10363,20822,3542,
10365,20822,3542,
10359,20822,3542,
10369,20822,3542,
10370,20822,3542,
10366,20822,3542,
10362,20822,3542,
10361,20822,3542,
10358,20822,3542,
10368,20822,3542,
10367,20822,3542,
10357,20822,3542,
10371,20822,3542,
10356,20822,3542,
10302,20822,24132,Shanghai@Dongcang
10303,20822,24132,
10304,20822,24132,
10301,20822,24132,
10300,20822,24132,
10299,20822,24132,
10298,20822,24132,
222,20822,24132,
226,20822,24132,
221,20822,24132,
223,20822,24132,
225,20822,24132,
224,20822,24132,
10284,20822,24132,
10285,20822,24132,
10286,20822,24132,
10288,20822,24132,
10290,20822,24132,
10289,20822,24132,
10287,20822,24132,
212,20822,24132,
211,20822,24132,
209,20822,24132,
213,20822,24132,
210,20822,24132,
214,20822,24132,
10291,20822,24132,
10292,20822,24132,
10293,20822,24132,
215,20822,24132,
216,20822,24132,
10294,20822,24132,
10297,20822,24132,
10296,20822,24132,
10295,20822,24132,
217,20822,24132,
219,20822,24132,
218,20822,24132,
220,20822,24132,
10306,20822,24132,
10306,20822,24132,
10307,20822,24132,
10311,20822,24132,
10310,20822,24132,
10309,20822,24132,
10308,20822,24132,
232,20822,24132,
231,20822,24132,
230,20822,24132,
228,20822,24132,
229,20822,24132,
227,20822,24132,
10320,20822,24132,
10324,20822,24132,
10323,20822,24132,
10312,20822,24132,
10313,20822,24132,
10316,20822,24132,
10327,20822,24132,
10319,20822,24132,
10326,20822,24132,
10325,20822,24132,
10321,20822,24132,
10322,20822,24132,
10315,20822,24132,
10314,20822,24132,
10318,20822,24132,
10317,20822,24132,
10074,20822,54403,Shanghai@Dongting
10071,20822,54403,
10072,20822,54403,
10073,20822,54403,
10075,20822,54403,
10076,20822,54403,
10077,20822,54403,
73,20822,54403,
74,20822,54403,
75,20822,54403,
76,20822,54403,
77,20822,54403,
78,20822,54403,
10081,20822,54403,
10080,20822,54403,
10079,20822,54403,
10084,20822,54403,
10083,20822,54403,
10082,20822,54403,
10085,20822,54403,
84,20822,54403,
83,20822,54403,
82,20822,54403,
81,20822,54403,
86,20822,54403,
85,20822,54403,
10086,20822,54403,
10027,20822,54403,
10088,20822,54403,
10095,20822,54403,
10092,20822,54403,
10093,20822,54403,
10094,20822,54403,
92,20822,54403,
90,20822,54403,
87,20822,54403,
88,20822,54403,
